B,-
C,-
CK1,-
CK2,-
D,-
DTG1,-
DTG2,-
DTG3,-
DTG4,-
E,-
F1,-
F2,-
I,-
IS1,-
IS2,-
LC3,-
LC4,-
LM1,-
LM2,-
LM3,-
LM4,-
LR,-
LSC,-
LSM,-
LT,-
SB2,Сублимация
SH,-
SL1,-
SL2,-
TT1,-
TT2,-
UVR,-
Вышивка,-
Вышивка объемная,-
Вышивка шеврона,-
Гравировка,-
Лазерная гравировка больше 2 см2,-
Лазерная гравировка до 2 см2,-
Печать шубера к арт. 25201,-
Печать шубера к арт. 25202,-
Сигнальный образец 3Д вышивки,-
Сигнальный образец УФ-печати,-
Сигнальный образец вышивки,-
Сигнальный образец вышивки шеврона,-
Сигнальный образец гравировки,-
Сигнальный образец термотрансфер,-
Сигнальный образец шелкографии,-
Сублимация,Сублимация
Тампопечать,-
Текстильный принтер,-
Термотрансфер,-
Трафаретная печать,-
УФ-печать на мелких изделиях (клипы ручек,-
Флекс-пленка,-
Шелкография по плоским поверхностям,-
Шелкография по синтетическим поверхностям,-
Шелкография по текстилю,-
мелкие USB,-
мелкие магниты и т.п.),-
плоские и мелкие брелоки,-
ручки пластик,-
